"Features","Importance","Gene_Symbol"
"207752_x_at",0.000532489788611142,"PRB1"
"218022_at",0.000531957125148604,"VRK3"
"234781_at",0.000530797896087585,NA
"208702_x_at",0.000530778173153588,"APLP2"
"212538_at",0.000529324466149412,"DOCK9"
"221697_at",0.000526703552901442,"MAP1LC3C"
"242180_at",0.000521175168425066,"TSPAN16"
"218902_at",0.000518525440318159,"NOTCH1"
"223445_at",0.000517157690273457,"DTNBP1"
"200978_at",0.000514774551717686,"MDH1"
"208244_at",0.000514023549259745,"BMP3"
"202656_s_at",0.000512226968699603,"SERTAD2"
"222012_at",0.000511544185525973,"DCAF15"
"222605_at",0.000511210552774784,"RCOR3"
"217614_at",0.000509792019565744,"ARHGAP45"
"221809_at",0.000509222916281898,"RANBP10"
"201465_s_at",0.000509214314274146,"JUN"
"219485_s_at",0.000508502720237968,"PSMD10"
"208707_at",0.000504807474374752,"EIF5"
"215922_at",0.000504576813376111,"REPS1"
"218014_at",0.000495319606851372,"NUP85"
"232204_at",0.000493020202265047,"EBF1"
"241530_at",0.000490738194119534,NA
"220903_at",0.000487862373503576,"GFM1"
"200807_s_at",0.000487771551048232,"HSPD1"
"225260_s_at",0.000487135576012575,"MRPL32"
"1562295_at",0.000484934180513969,"ADAMTS9-AS2"
"232847_at",0.000484547793248267,"SALL3"
"223664_x_at",0.000484121284140543,"BCL2L13"
"226910_at",0.000484077374627276,"COMMD2"
"201779_s_at",0.000479404342617953,"RNF13"
"224122_at",0.00047682670862865,NA
"243342_at",0.000474412259018497,NA
"223792_at",0.000471944071273593,"ZNF2"
"225904_at",0.000471582493994565,"CCSAP"
"1559227_s_at",0.000469627462808484,"VHL"
"213801_x_at",0.00046697861089227,"RPSA"
"235587_at",0.000465833412218048,"PAXIP1-DT"
"233665_x_at",0.000465832741580275,"MTO1"
"202915_s_at",0.000465420749484816,"FAM20B"
"236184_at",0.000462745128967991,NA
"203909_at",0.000462134916990549,"SLC9A6"
"1554966_a_at",0.000459748494899901,"FILIP1L"
"212253_x_at",0.000458856235072878,"DST"
"208380_at",0.000456097299062612,"LBX1"
"225669_at",0.000454960270290036,"IFNAR1"
"205170_at",0.000453292147161396,"STAT2"
"242909_at",0.000452904404537114,NA
"225608_at",0.000451518468443089,"SNX29"
"202947_s_at",0.000451372367788998,"GYPC"
"244223_at",0.000450989382853427,NA
"239824_s_at",0.000450154879488392,"TMEM107"
"216283_s_at",0.000448192182812791,"PVR"
"241453_at",0.000448046322793489,"PTK2"
"236898_at",0.000445902848872555,NA
"1561297_at",0.000442544736677287,"WARS2"
"240571_at",0.00044100978055079,NA
"209472_at",0.000439693881781498,"KYAT3"
